fixture	expected_code
breaker-001-tyyppivaarennos.aet	AE-EPISTEMIC-001
breaker-002-int-effectille.aet	AE-EPISTEMIC-001
breaker-003-tuntematon-policy.aet	AE-NAME-002
breaker-004-tuntematon-effect.aet	AE-NAME-003
breaker-005-verify-no-args.aet	AE-PARSE-001
breaker-006-verify-too-many-args.aet	AE-PARSE-001
breaker-007-effect-no-args.aet	AE-TYPE-001
breaker-008-claim-returnina.aet	AE-EPISTEMIC-001
breaker-010-claim-type-swap.aet	AE-EPISTEMIC-001
breaker-011-undeclared-effect.aet	AE-NAME-003
breaker-012-double-verify.aet	AE-TYPE-001
breaker-013-struct-vs-int.aet	AE-TYPE-001
breaker-014-wrong-effect-policy.aet	AE-EPISTEMIC-003
breaker-015-claim-type-mismatch.aet	AE-TYPE-001
breaker-017-verify-literal.aet	AE-TYPE-001
breaker-018-no-policy-defined.aet	AE-NAME-002
breaker-019-claim-wrong-arg.aet	AE-EPISTEMIC-001
breaker-020-scope-escape.aet	AE-EPISTEMIC-001
